pclass_preprocess__Pclass,sex_preprocess__Sex_male,age_preprocess__Age,sibsp_parch_preprocess__FamilySize,embarked_preprocess__Embarked_Q,embarked_preprocess__Embarked_S,fare_preprocess__Fare,Survived
2.0,0.0,0.18896588740823594,1.0,1.0,0.0,-0.4887528979031203,1
2.0,1.0,0.18896588740823594,1.0,0.0,1.0,-0.4884187558022372,0
0.0,1.0,0.2544028795474997,1.0,0.0,0.0,-0.08936049375362816,0
0.0,0.0,0.18896588740823594,2.0,0.0,0.0,2.301969722204746,1
2.0,0.0,0.18896588740823594,1.0,1.0,0.0,-0.49135357015818615,1
1.0,1.0,0.4215194755109911,1.0,0.0,1.0,-0.4359987040480386,0
0.0,1.0,0.17727214294896515,2.0,0.0,0.0,1.0066658552272931,0
0.0,1.0,0.2672580023139221,2.0,0.0,1.0,0.39935654815964244,0
2.0,1.0,0.18896588740823594,1.0,0.0,0.0,-0.5018367753473371,1
2.0,1.0,0.1322792132664867,1.0,0.0,1.0,-0.48531485749162456,0
2.0,0.0,0.11299652911685307,3.0,0.0,1.0,-0.2850308873839999,0
2.0,0.0,0.08728628358400822,2.0,0.0,0.0,-0.42106899343207627,1
2.0,0.0,0.2544028795474997,2.0,0.0,1.0,-0.45663097232545724,0
1.0,0.0,0.17084458156575394,2.0,0.0,1.0,-0.22464376071838438,0
2.0,1.0,0.18896588740823594,1.0,0.0,0.0,-0.4884187558022372,0
1.0,0.0,0.01658310836868492,4.0,0.0,0.0,0.18959582497396044,1
2.0,0.0,0.11942409050006428,1.0,1.0,0.0,-0.4887528979031203,1
2.0,1.0,0.18896588740823594,1.0,0.0,1.0,-0.48531485749162456,0
2.0,1.0,0.18896588740823594,2.0,1.0,0.0,-0.33535349293867944,0
2.0,0.0,0.18896588740823594,1.0,1.0,0.0,-0.49135357015818615,1
2.0,1.0,0.18896588740823594,3.0,0.0,0.0,-0.210972115241289,0
2.0,0.0,0.11299652911685307,2.0,0.0,1.0,-0.28905669582837423,0
2.0,1.0,0.04229335390152976,6.0,0.0,1.0,0.15151771580284548,0
2.0,1.0,0.1322792132664867,1.0,0.0,1.0,-0.4903471180470925,0
0.0,0.0,0.3122509319964005,2.0,0.0,0.0,0.8971316590727555,1
1.0,0.0,0.18369970433217636,2.0,0.0,1.0,-0.12399854960902522,1
0.0,1.0,0.4150919141277799,2.0,0.0,0.0,0.6002282863001458,0
0.0,1.0,0.18896588740823594,1.0,0.0,1.0,0.06722735149875719,1
1.0,0.0,0.1322792132664867,1.0,0.0,1.0,-0.4359987040480386,1
2.0,1.0,0.18048592364057076,1.0,0.0,0.0,-0.5018367753473371,0
1.0,0.0,0.02943823113510734,4.0,0.0,1.0,-0.08877272572074951,1
2.0,1.0,0.0680035994343746,8.0,0.0,1.0,0.29669843282809605,0
2.0,1.0,0.1387067746496979,1.0,0.0,0.0,-0.5018367753473371,0
0.0,1.0,0.28654068646355574,2.0,0.0,1.0,1.0329181520930582,0
2.0,1.0,0.02301066975189613,6.0,0.0,1.0,-0.08575336938746876,0
0.0,1.0,0.18896588740823594,1.0,0.0,0.0,-0.08936049375362816,0
2.0,1.0,0.18896588740823594,3.0,0.0,0.0,-0.3404702954714793,1
1.0,0.0,0.18369970433217636,1.0,0.0,1.0,-0.4359987040480386,1
2.0,1.0,0.11942409050006428,1.0,0.0,1.0,-0.48313488221899586,0
2.0,0.0,0.10656896773364186,7.0,0.0,1.0,-0.48783098776935857,1
2.0,1.0,0.16441702018254273,3.0,0.0,1.0,-0.47298581913072807,0
1.0,1.0,0.20298238848181,1.0,0.0,1.0,-0.4359987040480386,0
2.0,0.0,0.10014140635043065,8.0,0.0,1.0,0.29669843282809605,0
1.0,1.0,0.1322792132664867,1.0,0.0,1.0,0.8321309559298868,0
2.0,1.0,0.16441702018254273,2.0,0.0,0.0,-0.35640444529431303,0
2.0,1.0,0.20298238848181,1.0,0.0,1.0,0.48985269618073385,1
2.0,1.0,0.15798945879933152,1.0,0.0,1.0,-0.49336647438037334,0
2.0,1.0,0.18896588740823594,1.0,0.0,1.0,-0.4884187558022372,0
2.0,1.0,0.18896588740823594,1.0,0.0,1.0,-0.48531485749162456,0
1.0,1.0,0.002635300167116596,3.0,0.0,1.0,-0.06361142294340973,1
2.0,0.0,0.19012726571538757,1.0,0.0,1.0,-0.3962438456598417,1
2.0,1.0,0.1387067746496979,1.0,0.0,1.0,-0.46619226738084635,0
2.0,1.0,0.18369970433217636,1.0,0.0,1.0,-0.45612774626991043,1
2.0,0.0,0.18896588740823594,1.0,1.0,0.0,-0.49059873107486596,1
0.0,1.0,0.17727214294896515,1.0,0.0,1.0,0.3007242412724705,0
1.0,0.0,0.10656896773364186,1.0,0.0,1.0,-0.4359987040480386,1
2.0,0.0,0.2094099498650212,4.0,0.0,1.0,-0.3283083281610243,1
2.0,1.0,0.10014140635043065,5.0,0.0,1.0,0.04458217899915138,0
2.0,1.0,0.18896588740823594,1.0,0.0,1.0,-0.48531485749162456,0
0.0,0.0,0.14513433603290912,6.0,0.0,1.0,4.646584456974599,1
2.0,1.0,0.1515618974161203,1.0,0.0,1.0,-0.48531485749162456,0
2.0,1.0,0.18369970433217636,1.0,0.0,1.0,-0.48531485749162456,0
2.0,1.0,0.1258516518832755,1.0,0.0,1.0,-0.48925612395866713,0
0.0,1.0,0.29296824784676695,2.0,0.0,1.0,0.5840405105453165,0
2.0,1.0,0.16441702018254273,4.0,0.0,1.0,-0.23319860366267992,0
2.0,1.0,0.37652654582851264,1.0,0.0,1.0,-0.5014180912691221,0
2.0,1.0,0.18896588740823594,1.0,0.0,1.0,-0.48531485749162456,0
0.0,1.0,0.45365728242704717,1.0,0.0,0.0,0.050202207587498056,0
0.0,1.0,0.14513433603290912,2.0,0.0,0.0,0.6279882484283292,1
1.0,0.0,0.21583751124823242,2.0,0.0,1.0,-0.18438567627464073,1
1.0,1.0,0.21583751124823242,2.0,0.0,1.0,-0.12399854960902522,0
2.0,0.0,0.17727214294896515,1.0,0.0,1.0,-0.4884187558022372,0
2.0,1.0,0.18896588740823594,1.0,0.0,1.0,-0.4884187558022372,0
0.0,1.0,0.1322792132664867,2.0,0.0,1.0,0.9083697033452263,0
2.0,1.0,0.2094099498650212,1.0,0.0,1.0,-0.4731528901811696,0
2.0,1.0,0.23512019539786605,3.0,0.0,1.0,-0.48783098776935857,0
2.0,1.0,0.17727214294896515,1.0,0.0,1.0,-0.4884187558022372,0
2.0,0.0,0.1322792132664867,1.0,0.0,1.0,-0.49336647438037334,1
2.0,1.0,0.18896588740823594,1.0,0.0,1.0,-0.4908503441026394,1
2.0,1.0,0.24154775678107726,1.0,0.0,1.0,-0.4884187558022372,0
2.0,0.0,0.18896588740823594,2.0,1.0,0.0,-0.16123727771948815,1
0.0,1.0,0.29939580922997816,1.0,0.0,1.0,0.39935654815964244,0
2.0,0.0,0.09050006427561383,2.0,0.0,0.0,-0.35640444529431303,0
2.0,1.0,0.1387067746496979,1.0,0.0,1.0,-0.48531485749162456,0
2.0,0.0,0.1258516518832755,2.0,0.0,1.0,-0.44958580754780214,0
2.0,0.0,0.10656896773364186,1.0,0.0,0.0,-0.3563219162212033,0
2.0,1.0,0.1322792132664867,1.0,0.0,1.0,-0.48783098776935857,0
2.0,1.0,0.45044350173544156,1.0,1.0,0.0,-0.49135357015818615,0
1.0,1.0,0.18369970433217636,2.0,0.0,1.0,-0.22464376071838438,0
0.0,1.0,0.1515618974161203,2.0,0.0,0.0,4.335002986613801,0
2.0,0.0,0.010155546985473711,7.0,0.0,1.0,-0.01781785188865133,0
1.0,1.0,0.1322792132664867,3.0,0.0,1.0,0.8321309559298868,0
2.0,1.0,0.18896588740823594,1.0,0.0,1.0,-0.48531485749162456,0
1.0,1.0,0.2061961691734156,2.0,0.0,0.0,-0.04205724453222939,0
1.0,0.0,0.2061961691734156,1.0,0.0,1.0,-0.38567609849335904,1
0.0,1.0,0.3443887389124566,2.0,0.0,1.0,0.9083697033452263,0
2.0,1.0,0.0744311608175858,2.0,0.0,0.0,-0.42106899343207627,1
2.0,1.0,0.18896588740823594,1.0,1.0,0.0,-0.49135357015818615,0
2.0,1.0,0.1515618974161203,1.0,0.0,1.0,-0.5035980665417508,1
2.0,0.0,0.18896588740823594,3.0,0.0,0.0,-0.19730248266841588,1
2.0,1.0,0.28654068646355574,1.0,0.0,1.0,-0.5069535778801368,0
2.0,1.0,0.2094099498650212,1.0,0.0,0.0,-0.4884187558022372,0
2.0,1.0,0.1258516518832755,1.0,0.0,1.0,-0.5054438997134965,0
2.0,0.0,0.29939580922997816,2.0,0.0,1.0,-0.3554825351605513,0
1.0,0.0,0.18369970433217636,2.0,0.0,1.0,-0.12399854960902522,1
1.0,1.0,0.15798945879933152,1.0,0.0,1.0,-0.38567609849335904,0
1.0,1.0,0.14513433603290912,1.0,0.0,0.0,-0.34449610391585367,0
0.0,0.0,0.11942409050006428,3.0,0.0,1.0,-0.11829599194756892,1
0.0,1.0,0.23512019539786605,2.0,0.0,1.0,0.4214984946037015,0
2.0,1.0,0.10014140635043065,1.0,0.0,1.0,-0.46183030393136676,0
0.0,1.0,0.1515618974161203,1.0,0.0,0.0,0.9468664965945564,0
2.0,0.0,0.18896588740823594,3.0,0.0,0.0,-0.3404702954714793,0
2.0,0.0,0.1387067746496979,1.0,0.0,1.0,-0.49135357015818615,1
2.0,0.0,0.1515618974161203,2.0,0.0,1.0,-0.3283083281610243,1
2.0,1.0,0.11942409050006428,1.0,1.0,0.0,-0.511482612380058,0
1.0,1.0,0.11299652911685307,1.0,0.0,1.0,-0.4158696618261668,0
1.0,1.0,0.11942409050006428,3.0,0.0,1.0,0.09238865427609698,0
2.0,1.0,0.17084458156575394,1.0,0.0,1.0,-0.49043166002442445,1
2.0,0.0,0.05514847666795218,5.0,0.0,1.0,0.04458217899915138,0
1.0,1.0,0.23190641470626044,3.0,0.0,1.0,-0.12399854960902522,0
1.0,1.0,0.2672580023139221,1.0,0.0,1.0,-0.38567609849335904,0
1.0,1.0,0.32510605476282295,1.0,0.0,1.0,-0.3952373935487482,0
0.0,0.0,0.1387067746496979,2.0,0.0,1.0,0.6932405645989711,1
2.0,1.0,0.3540300809872734,1.0,0.0,1.0,-0.48531485749162456,0
2.0,1.0,0.2576166602391053,3.0,0.0,1.0,-0.3554825351605513,0
2.0,1.0,0.18896588740823594,1.0,0.0,1.0,-0.5001600261302551,0
0.0,1.0,0.32510605476282295,2.0,0.0,0.0,0.5881508609670226,0
2.0,0.0,0.10014140635043065,1.0,1.0,0.0,-0.4916897251632914,1
2.0,1.0,0.19012726571538757,1.0,0.0,1.0,-0.48531485749162456,0
2.0,1.0,0.18896588740823594,1.0,0.0,1.0,-0.47298581913072807,0
2.0,1.0,0.18896588740823594,11.0,0.0,1.0,0.752621239153493,0
2.0,1.0,0.2801131250803445,2.0,0.0,1.0,-0.3232760676055563,0
1.0,0.0,0.2544028795474997,1.0,0.0,1.0,-0.3303212323832115,1
2.0,1.0,0.16441702018254273,1.0,0.0,1.0,-0.4908503441026394,0
2.0,1.0,0.10656896773364186,1.0,0.0,1.0,-0.47298581913072807,0
2.0,1.0,0.0037279856022625017,6.0,0.0,1.0,0.15151771580284548,0
2.0,1.0,0.05514847666795218,3.0,0.0,1.0,-0.2342050557737735,1
0.0,0.0,0.18896588740823594,2.0,0.0,1.0,0.4597436748252579,1
2.0,0.0,0.28654068646355574,6.0,0.0,1.0,-0.08575336938746876,0
0.0,1.0,0.18896588740823594,1.0,0.0,1.0,-0.1255082277756656,0
2.0,1.0,0.17727214294896515,1.0,0.0,1.0,0.48985269618073385,0
0.0,1.0,0.38938166859493506,1.0,0.0,1.0,0.026969267055013527,0
2.0,1.0,0.02301066975189613,6.0,1.0,0.0,-0.06109529266567574,0
2.0,0.0,0.0037279856022625017,3.0,0.0,1.0,-0.4232509816089272,1
2.0,1.0,0.1322792132664867,1.0,0.0,1.0,-0.48783098776935857,0
0.0,1.0,0.357243861678879,1.0,0.0,0.0,-0.029476593143559496,0
2.0,1.0,0.11299652911685307,3.0,0.0,1.0,-0.48925612395866713,0
2.0,1.0,0.18896588740823594,5.0,0.0,1.0,-0.13473336782594947,0
0.0,0.0,0.31867849337961174,1.0,0.0,0.0,-0.0693985225821979,0
1.0,1.0,0.19012726571538757,1.0,0.0,1.0,-0.38567609849335904,0
2.0,1.0,0.22869263401465484,1.0,0.0,1.0,0.011872485388609652,0
2.0,0.0,0.18896588740823594,11.0,0.0,1.0,0.752621239153493,0
1.0,1.0,0.18896588740823594,1.0,0.0,0.0,-0.34441156193852174,0
2.0,1.0,0.05514847666795218,7.0,0.0,1.0,-0.015553334638690734,0
1.0,1.0,0.0037279856022625017,4.0,0.0,1.0,0.1376789992753086,1
2.0,0.0,0.02301066975189613,3.0,0.0,1.0,-0.20401149244096578,1
0.0,1.0,0.18896588740823594,1.0,0.0,1.0,0.35909846371589876,0
2.0,0.0,0.18896588740823594,2.0,1.0,0.0,-0.33535349293867944,1
0.0,1.0,0.28654068646355574,1.0,0.0,1.0,-0.11292757638699569,1
2.0,1.0,0.2544028795474997,3.0,1.0,0.0,-0.33535349293867944,0
2.0,1.0,0.22869263401465484,1.0,0.0,1.0,-0.4884187558022372,0
1.0,0.0,0.20298238848181,1.0,0.0,1.0,-0.38567609849335904,1
1.0,1.0,0.11942409050006428,1.0,0.0,1.0,-0.38567609849335904,0
2.0,0.0,0.11942409050006428,2.0,0.0,1.0,-0.48925612395866713,1
1.0,1.0,0.01658310836868492,3.0,0.0,1.0,-0.12399854960902522,1
0.0,0.0,0.2801131250803445,1.0,0.0,0.0,-0.08936049375362816,1
0.0,0.0,0.3700989844453014,1.0,0.0,0.0,2.301969722204746,1
2.0,1.0,0.18896588740823594,1.0,1.0,0.0,-0.49135357015818615,0
2.0,1.0,0.2672580023139221,2.0,0.0,1.0,-0.4781851507366376,0
2.0,0.0,0.18896588740823594,1.0,1.0,0.0,-0.49135357015818615,1
1.0,0.0,0.1515618974161203,1.0,0.0,1.0,-0.38567609849335904,0
2.0,1.0,0.17727214294896515,1.0,0.0,1.0,-0.45612774626991043,0
2.0,1.0,0.18896588740823594,11.0,0.0,1.0,0.752621239153493,0
2.0,1.0,0.21583751124823242,1.0,0.0,1.0,-0.5165994149128578,0
2.0,1.0,0.28975446715516134,1.0,0.0,0.0,-0.5019213173246688,0
2.0,1.0,0.11299652911685307,1.0,0.0,1.0,-0.48531485749162456,1
2.0,0.0,0.010155546985473711,2.0,0.0,1.0,-0.43675354313135883,0
2.0,1.0,0.20298238848181,2.0,0.0,1.0,-0.3283083281610243,0
2.0,1.0,0.16441702018254273,1.0,0.0,0.0,-0.26917926663427577,1
2.0,0.0,0.10014140635043065,1.0,1.0,0.0,-0.49135357015818615,1
0.0,1.0,0.2544028795474997,1.0,0.0,0.0,-0.023353338499666056,1
2.0,1.0,0.1515618974161203,1.0,0.0,1.0,-0.5054438997134965,0
1.0,0.0,0.22226507263144363,1.0,0.0,1.0,-0.22464376071838438,1
2.0,1.0,0.1387067746496979,1.0,0.0,1.0,-0.5014180912691221,0
1.0,1.0,0.19012726571538757,1.0,0.0,1.0,-0.38567609849335904,0
2.0,1.0,0.18896588740823594,2.0,1.0,0.0,-0.49135357015818615,0
0.0,0.0,0.19655482709859878,2.0,0.0,0.0,1.6327636103048393,1
2.0,0.0,0.17084458156575394,1.0,0.0,1.0,-0.48783098776935857,1
1.0,1.0,0.2672580023139221,2.0,0.0,1.0,-0.10386950738715338,0
0.0,0.0,0.20298238848181,1.0,0.0,0.0,0.8883252031006865,1
1.0,1.0,0.19012726571538757,1.0,0.0,1.0,-0.4359987040480386,0
2.0,1.0,0.10014140635043065,1.0,0.0,1.0,-0.48531485749162456,1
1.0,1.0,0.17084458156575394,1.0,0.0,1.0,-0.38567609849335904,0
2.0,1.0,0.32510605476282295,1.0,0.0,1.0,-0.48531485749162456,0
2.0,1.0,0.18896588740823594,1.0,0.0,1.0,-0.4884187558022372,0
0.0,1.0,0.24154775678107726,2.0,0.0,1.0,1.164260152590772,1
2.0,1.0,0.1387067746496979,1.0,0.0,1.0,-0.4591471026031912,0
1.0,1.0,0.11942409050006428,1.0,0.0,1.0,-0.4359987040480386,1
2.0,1.0,0.1290654325748811,1.0,0.0,1.0,-0.5014180912691221,0
1.0,1.0,0.11299652911685307,1.0,0.0,1.0,-0.38567609849335904,0
2.0,0.0,0.18896588740823594,5.0,0.0,1.0,-0.13473336782594947,0
0.0,0.0,0.22226507263144363,2.0,0.0,1.0,1.0329181520930582,1
2.0,1.0,0.18369970433217636,1.0,0.0,1.0,-0.4908503441026394,0
1.0,1.0,0.37652654582851264,1.0,0.0,1.0,-0.3756115773824231,0
2.0,0.0,0.02943823113510734,7.0,0.0,1.0,-0.015553334638690734,1
1.0,1.0,0.1515618974161203,1.0,0.0,1.0,-0.4359987040480386,0
2.0,0.0,0.18896588740823594,1.0,0.0,1.0,-0.4953793786025605,0
1.0,1.0,0.2801131250803445,2.0,0.0,1.0,-0.12399854960902522,0
1.0,0.0,0.04872091528474097,3.0,0.0,1.0,-0.11896628905355726,1
1.0,1.0,0.11942409050006428,1.0,0.0,1.0,-0.4359987040480386,0
1.0,1.0,0.2094099498650212,1.0,0.0,1.0,-0.40026965410421617,0
2.0,0.0,0.18896588740823594,2.0,0.0,0.0,-0.35640444529431303,0
2.0,0.0,0.18896588740823594,2.0,1.0,0.0,-0.33535349293867944,1
1.0,1.0,0.18369970433217636,1.0,0.0,1.0,-0.4359987040480386,0
2.0,1.0,0.1387067746496979,1.0,0.0,1.0,-0.5039342215468561,0
2.0,1.0,0.19012726571538757,1.0,0.0,0.0,-0.5019213173246688,0
0.0,1.0,0.2801131250803445,3.0,1.0,0.0,1.164260152590772,0
2.0,0.0,0.15798945879933152,1.0,0.0,1.0,-0.4908503441026394,0
1.0,0.0,0.1515618974161203,3.0,0.0,1.0,-0.3554825351605513,1
0.0,1.0,0.23512019539786605,3.0,0.0,1.0,0.4105120633590038,1
1.0,1.0,0.3443887389124566,2.0,0.0,1.0,-0.12399854960902522,0
2.0,1.0,0.18896588740823594,1.0,0.0,1.0,-0.5014180912691221,0
2.0,0.0,0.18369970433217636,3.0,0.0,1.0,-0.43675354313135883,0
0.0,1.0,0.39580922997814627,1.0,0.0,1.0,-0.11292757638699569,0
2.0,1.0,0.19012726571538757,2.0,0.0,1.0,-0.3232760676055563,0
2.0,0.0,0.2608304409307109,3.0,0.0,1.0,-0.24049538146810848,0
2.0,0.0,0.18369970433217636,3.0,0.0,0.0,-0.3404702954714793,1
0.0,0.0,0.18896588740823594,1.0,0.0,0.0,0.9468664965945564,1
0.0,0.0,0.19012726571538757,1.0,0.0,1.0,1.0938085048142205,1
0.0,0.0,0.22226507263144363,1.0,0.0,0.0,9.665342450920125,1
1.0,0.0,0.31867849337961174,2.0,0.0,1.0,-0.12399854960902522,1
2.0,1.0,0.18896588740823594,1.0,1.0,0.0,-0.49135357015818615,0
2.0,1.0,0.01658310836868492,7.0,0.0,1.0,-0.015553334638690734,1
0.0,1.0,0.33153361614603416,3.0,0.0,1.0,0.9559245655943986,0
0.0,1.0,0.2544028795474997,1.0,0.0,1.0,-0.6473536473776929,0
2.0,0.0,0.18896588740823594,1.0,1.0,0.0,-0.49135357015818615,0
1.0,1.0,0.22869263401465484,1.0,0.0,1.0,-0.4359987040480386,0
2.0,1.0,0.10014140635043065,6.0,0.0,1.0,0.15151771580284548,0
2.0,1.0,0.15798945879933152,2.0,0.0,1.0,-0.4908503441026394,1
0.0,0.0,0.3700989844453014,2.0,0.0,1.0,2.4416994945963135,1
0.0,0.0,0.22226507263144363,1.0,0.0,1.0,2.082814775014116,1
0.0,1.0,0.18896588740823594,1.0,0.0,1.0,-0.023353338499666056,0
2.0,1.0,0.15798945879933152,1.0,0.0,1.0,-0.6473536473776929,1
1.0,0.0,0.2608304409307109,2.0,0.0,1.0,-0.25483732405119214,1
0.0,1.0,0.23512019539786605,2.0,0.0,0.0,-0.04952109338809945,0
2.0,0.0,0.18896588740823594,1.0,1.0,0.0,-0.49135357015818615,1
0.0,0.0,0.4022367913613575,2.0,0.0,1.0,0.9218722648676578,1
2.0,0.0,0.28654068646355574,1.0,0.0,1.0,-0.49135357015818615,0
1.0,1.0,0.18896588740823594,1.0,0.0,1.0,-0.6473536473776929,0
2.0,1.0,0.04229335390152976,6.0,1.0,0.0,-0.06109529266567574,0
2.0,0.0,0.22226507263144363,3.0,0.0,1.0,-0.23974054238478826,1
2.0,1.0,0.4150919141277799,1.0,1.0,0.0,-0.49135357015818615,0
2.0,1.0,0.17727214294896515,1.0,0.0,1.0,-0.48925612395866713,0
2.0,1.0,0.10014140635043065,1.0,0.0,1.0,-0.45612774626991043,0
2.0,1.0,0.11942409050006428,1.0,0.0,1.0,-0.48531485749162456,1
0.0,1.0,0.18896588740823594,1.0,0.0,1.0,-0.12399854960902522,0
2.0,1.0,0.2094099498650212,1.0,0.0,0.0,-0.47298581913072807,0
2.0,1.0,0.19012726571538757,1.0,0.0,1.0,-0.45612774626991043,1
2.0,1.0,0.1387067746496979,1.0,0.0,1.0,-0.4884187558022372,0
1.0,1.0,0.2672580023139221,1.0,0.0,1.0,-0.38567609849335904,1
2.0,0.0,0.1387067746496979,1.0,1.0,0.0,-0.49135357015818615,1
0.0,0.0,0.16441702018254273,1.0,0.0,1.0,0.939821331816901,1
0.0,0.0,0.11942409050006428,2.0,0.0,0.0,1.1859834149566162,1
1.0,1.0,0.22869263401465484,1.0,0.0,0.0,-0.388192228771093,0
2.0,0.0,0.1515618974161203,1.0,0.0,1.0,-0.4692116237141271,0
2.0,1.0,0.1515618974161203,1.0,0.0,1.0,-0.4884187558022372,0
0.0,1.0,0.18896588740823594,1.0,0.0,0.0,-0.08936049375362816,0
2.0,1.0,0.14834811672451473,1.0,0.0,0.0,-0.5018367753473371,0
0.0,0.0,0.010155546985473711,4.0,0.0,1.0,2.403202701346984,0
0.0,1.0,0.18896588740823594,1.0,0.0,1.0,-0.03341785961060197,1
0.0,0.0,0.31867849337961174,2.0,0.0,0.0,4.335002986613801,1
2.0,0.0,0.18896588740823594,1.0,1.0,0.0,-0.49135357015818615,1
2.0,1.0,0.18896588740823594,3.0,1.0,0.0,-0.17935341571917277,1
2.0,1.0,0.11942409050006428,1.0,0.0,1.0,-0.6473536473776929,0
1.0,0.0,0.18896588740823594,1.0,1.0,0.0,-0.3987599759375757,1
2.0,1.0,0.18896588740823594,1.0,0.0,1.0,-0.48531485749162456,0
0.0,1.0,0.0032137806916056055,4.0,0.0,1.0,2.403202701346984,1
0.0,0.0,0.18896588740823594,1.0,0.0,0.0,1.584620980022788,1
0.0,0.0,0.10656896773364186,2.0,0.0,0.0,1.54469905058415,1
1.0,1.0,0.19012726571538757,2.0,0.0,0.0,-0.16425663405276889,0
0.0,0.0,0.19012726571538757,1.0,0.0,0.0,0.4985766230796931,1
0.0,0.0,0.1515618974161203,1.0,0.0,0.0,1.0265432844213915,1
0.0,0.0,0.11299652911685307,5.0,0.0,0.0,4.634003805585929,1
1.0,0.0,0.16441702018254273,3.0,0.0,1.0,-0.12399854960902522,0
2.0,1.0,0.17727214294896515,1.0,0.0,1.0,-0.4884187558022372,0
1.0,1.0,0.2736855636971333,3.0,0.0,1.0,-0.11896628905355726,0
2.0,0.0,0.16441702018254273,1.0,0.0,1.0,-0.48925612395866713,1
1.0,0.0,0.1515618974161203,2.0,0.0,1.0,-0.12399854960902522,1
1.0,1.0,0.3443887389124566,1.0,0.0,1.0,-0.3655470562714872,0
0.0,0.0,0.19655482709859878,3.0,0.0,1.0,2.671255117902984,1
0.0,0.0,0.2544028795474997,3.0,0.0,0.0,2.0600025314640686,1
2.0,1.0,0.1387067746496979,1.0,0.0,1.0,-0.5014180912691221,0
2.0,1.0,0.17084458156575394,1.0,0.0,1.0,-0.4884187558022372,0
1.0,0.0,0.19012726571538757,1.0,1.0,0.0,-0.3987599759375757,1
1.0,0.0,0.1387067746496979,3.0,0.0,1.0,-0.06361142294340973,1
2.0,1.0,0.18896588740823594,11.0,0.0,1.0,0.752621239153493,0
0.0,0.0,0.22869263401465484,1.0,0.0,0.0,2.082814775014116,1
2.0,1.0,0.38938166859493506,1.0,0.0,1.0,-0.5217987465187672,0
1.0,0.0,0.22869263401465484,1.0,0.0,1.0,-0.38567609849335904,1
2.0,0.0,0.19655482709859878,3.0,0.0,1.0,-0.2342050557737735,1
0.0,0.0,0.10014140635043065,2.0,0.0,0.0,0.5197121174126584,1
2.0,0.0,0.18896588740823594,3.0,1.0,0.0,-0.17935341571917277,1
0.0,1.0,0.28975446715516134,1.0,0.0,1.0,-0.07367594405434563,0
0.0,1.0,0.24154775678107726,2.0,0.0,1.0,2.4416994945963135,0
2.0,1.0,0.10014140635043065,3.0,0.0,1.0,-0.2850308873839999,0
0.0,0.0,0.18896588740823594,2.0,0.0,1.0,2.042892845575478,1
2.0,1.0,0.18896588740823594,1.0,0.0,1.0,-0.4884187558022372,0
0.0,1.0,0.18369970433217636,2.0,0.0,1.0,0.6932405645989711,0
0.0,0.0,0.2608304409307109,1.0,0.0,0.0,2.0600025314640686,1
2.0,1.0,0.28654068646355574,1.0,0.0,1.0,-0.48531485749162456,1
0.0,1.0,0.28654068646355574,1.0,0.0,1.0,0.06722735149875719,0
1.0,1.0,0.010155546985473711,3.0,0.0,1.0,-0.12399854960902522,1
